environment,seed,violation_auc,utility_loss_auc,false_intervention_auc
adversarial,11,0.009810000000000001,0.009810000000000003,0.0
adversarial,17,0.0097125,0.009712500000000006,0.0
adversarial,23,0.010060000000000001,0.010060000000000003,0.0
adversarial,31,0.00979,0.034910000000000004,0.0
adversarial,47,0.009867500000000001,0.0098675,0.0
adversarial,59,0.0100725,0.010072499999999998,0.0
adversarial,71,0.009647500000000002,0.009647499999999998,0.0
adversarial,83,0.010195000000000001,0.010195,0.0
adversarial,97,0.0096825,0.009682500000000005,0.0
adversarial,109,0.010105,0.010104999999999998,0.0
adversarial,127,0.009937500000000002,0.009937500000000005,0.0
adversarial,139,0.009837499999999999,0.009837500000000008,0.0
adversarial,151,0.0100125,0.0100125,0.0
adversarial,163,0.0095575,0.009557500000000009,0.0
adversarial,179,0.010190000000000001,0.010190000000000005,0.0
adversarial,191,0.0098775,0.0098775,0.0
adversarial,211,0.010107500000000002,0.010107499999999997,0.0
adversarial,223,0.0097375,0.009737500000000005,0.0
adversarial,239,0.010152500000000002,0.010152500000000004,0.0
adversarial,251,0.0096275,0.0096275,0.0
adversarial,269,0.010337500000000001,0.010337499999999998,0.0
adversarial,281,0.009822500000000001,0.009822499999999998,0.0
adversarial,293,0.0094725,0.009472499999999995,0.0
adversarial,307,0.0097725,0.009772499999999998,0.0
adversarial,331,0.009595,0.009595000000000001,0.0
adversarial,347,0.0101475,0.010147499999999997,0.0
adversarial,359,0.009245,0.009245000000000001,0.0
adversarial,373,0.0101225,0.0101225,0.0
adversarial,389,0.010324999999999999,0.010325000000000004,0.0
adversarial,401,0.01013,0.01013,0.0
monitoring_shift,11,0.020130000000000002,0.02013,0.009810000000000001
monitoring_shift,17,0.0200275,0.020027500000000004,0.0097125
monitoring_shift,23,0.019595,0.019595,0.010060000000000001
monitoring_shift,31,0.019987500000000002,0.019987500000000002,0.00979
monitoring_shift,47,0.019912500000000003,0.019912500000000003,0.009867500000000001
monitoring_shift,59,0.0200775,0.0200775,0.0100725
monitoring_shift,71,0.019950000000000002,0.01995,0.009647500000000002
monitoring_shift,83,0.019457500000000003,0.019457500000000003,0.010195000000000001
monitoring_shift,97,0.0201425,0.020142500000000004,0.0071649999999999995
monitoring_shift,109,0.020335,0.020335000000000002,0.010105
monitoring_shift,127,0.020475,0.020475000000000007,0.009937500000000002
monitoring_shift,139,0.019762500000000002,0.019762500000000002,0.009837499999999999
monitoring_shift,151,0.019942500000000002,0.0199425,0.0100125
monitoring_shift,163,0.019935,0.019935,0.0095575
monitoring_shift,179,0.020362500000000002,0.0203625,0.010190000000000001
monitoring_shift,191,0.019680000000000003,0.019680000000000003,0.00753
monitoring_shift,211,0.020047500000000003,0.0200475,0.010107500000000002
monitoring_shift,223,0.0201775,0.0201775,0.0097375
monitoring_shift,239,0.019765,0.019765000000000005,0.010152500000000002
monitoring_shift,251,0.019625,0.019625,0.0096275
monitoring_shift,269,0.020332500000000003,0.020332500000000003,0.010337500000000001
monitoring_shift,281,0.0204475,0.0204475,0.009822500000000001
monitoring_shift,293,0.019797500000000003,0.019797500000000003,0.0094725
monitoring_shift,307,0.019385,0.019385000000000006,0.0097725
monitoring_shift,331,0.019672500000000002,0.019672500000000002,0.009595
monitoring_shift,347,0.019965,0.019965000000000004,0.0101475
monitoring_shift,359,0.019257500000000004,0.019257500000000004,0.009245
monitoring_shift,373,0.02049,0.02049,0.0101225
monitoring_shift,389,0.0203925,0.0203925,0.010324999999999999
monitoring_shift,401,0.0205625,0.0205625,0.01013
truth_proxy,11,0.020130000000000002,0.02013,0.01056
truth_proxy,17,0.0200275,0.020027500000000004,0.01003
truth_proxy,23,0.019595,0.019595,0.009965
truth_proxy,31,0.019987500000000002,0.019987500000000002,0.009622499999999999
truth_proxy,47,0.019912500000000003,0.019912500000000003,0.0099525
truth_proxy,59,0.0200775,0.0200775,0.010010000000000002
truth_proxy,71,0.019950000000000002,0.01995,0.00974
truth_proxy,83,0.019457500000000003,0.019457500000000003,0.009525
truth_proxy,97,0.0201425,0.020142500000000004,0.0101525
truth_proxy,109,0.020335,0.020335000000000002,0.0104975
truth_proxy,127,0.020475,0.020475000000000007,0.010100000000000001
truth_proxy,139,0.019762500000000002,0.019762500000000002,0.009829999999999998
truth_proxy,151,0.019942500000000002,0.0199425,0.010082500000000001
truth_proxy,163,0.019935,0.019935,0.009842499999999999
truth_proxy,179,0.020362500000000002,0.0203625,0.0101075
truth_proxy,191,0.019680000000000003,0.019680000000000003,0.00958
truth_proxy,211,0.020047500000000003,0.0200475,0.00919
truth_proxy,223,0.0201775,0.0201775,0.010155
truth_proxy,239,0.019765,0.019765000000000005,0.009985
truth_proxy,251,0.019625,0.019625,0.0095125
truth_proxy,269,0.020332500000000003,0.020332500000000003,0.010382500000000001
truth_proxy,281,0.0204475,0.0204475,0.01056
truth_proxy,293,0.019797500000000003,0.019797500000000003,0.010015000000000001
truth_proxy,307,0.019385,0.019385000000000006,0.010365000000000001
truth_proxy,331,0.019672500000000002,0.019672500000000002,0.009982500000000002
truth_proxy,347,0.019965,0.019965000000000004,0.0099725
truth_proxy,359,0.019257500000000004,0.019257500000000004,0.00956
truth_proxy,373,0.02049,0.02049,0.010675000000000002
truth_proxy,389,0.0203925,0.0203925,0.0102025
truth_proxy,401,0.0205625,0.0205625,0.010155
